int	Clinical implications of <e10> clindamycin </e10> interactions with <e20> gentamicin </e20> and other antibiotics.
int	Clinical implications of <e10> warfarin </e10> interactions with coumarin derivatives: Patients receiving coumarin derivatives (such as <e20> carbamazepine </e20>, nefazodone, and alfentanil ) may experience an elevated risk of bleeding if their oral anticoagulant therapy is switched to a regimen containing warfarin.
int	Chloral_hydrate and <e10> methaqualone </e10> interact pharmacologically with acetaminophen and <e20> acetaminophen_ulfate </e20>.
int	Chloral_hydrate and <e10> methaqualone </e10> interact pharmacologically with <e20> amphetamines </e20> and with the tricyclic_antidepressant phenothiazines and the benzodiazepines alprazolam and diazepam.
int	In vitro interaction of <e10> erythromycin </e10> with carbamazepine, cyclosporine, tacrolimus, hexobarbital, phenytoin, alfentanil, cisapride, disopyramide, lovastatin, bromocriptine, valproate, terfenadine, and <e20> astemizole </e20>.
int	In vitro interaction of <e10> erythromycin </e10> and carbamazepine, cyclosporine, tacrolimus, hexobarbital, phenytoin, alfentanil, cisapride, disopyramide, lovastatin, bromocriptine, valproate, terfenadine, and <e20> astemizole </e20>.
int	In vitro interaction of <e10> gentamycin </e10> and <e20> ketoconazole </e20>.
int	Treatment with <e12> SSRI </e12>-<e22> TCA </e22> interactions may have clinical consequences.
int	Treatment with <e12> benzodiazepines </e12> may potentiate the CNS depressant effects of <e22> psychotropic_medications </e22>.
int	Interaction of <e10> ergotamine </e10> and <e20> amiodarone </e20> in rats.
int	Interaction of <e10> clindamycin </e10> and <e20> gentamicin </e20> in vitro.
int	<e10> Rifampin </e10> and <e20> warfarin </e20> : a drug interaction.
int	<e10> Rifampin </e10> and <e20> warfarin </e20> : a drug interaction.
int	The drug interaction between <e10> alfentanil </e10> and carbamazepine, cyclosporine, tacrolimus, hexobarbital, phenytoin, alfentanil, cisapride, disopyramide, lovastatin, bromocriptine, valproate, terfenadine, and <e20> cisapride </e20> is unclear.
int	The drug interaction between <e10> ketamine </e10> and <e20> midazolam </e20> is unclear.
int	Interaction of <e10> gentamycin </e10> and <e20> erythromycin </e20> in vitro.
int	Interaction of <e10> furosemide </e10> and <e20> cyclosporine </e20> in anaesthetised horses.
int	Interaction of <e10> clindamycin </e10> and <e20> gentamicin </e20> in vitro.
int	Interaction of <e10> Etonogestrel </e10> and <e20> warfarin </e20> during combination therapy: Studies in healthy volunteers and patients have shown that oral exposure of warfarin can reduce the efficacy of oral contraceptives containing either ethinyl_estradiol or an estrogen derivative, such as an oral contraceptive containing a progestin such as norethindrone or a vaginal contraceptive containing a progestin such as minipill.
int	Interaction of <e10> erythromycin </e10> and <e20> carbamazepine </e20> in a rat model.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving alprazolam or other benzodiazepines metabolized similarly to alprazolam include: <e10> ergotamine </e10>, cyclosporine, amiodarone, nicardipine, nifedipine, <e20> nifedipine </e20>, and bromocriptine.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines (in combination with other drugs or supplements) include: <e10> alprazolam </e10>, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, phenytoin, bromocriptine, valproate, astemizole, and lovastatin.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines (ie, <e10> alprazolam </e10> and alprazolam and phenytoin or carbamazepine or <e20> cyclosporine </e20> or tacrolimus ):
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving alfentanil or <e10> cyclosporine </e10> in rats: Clinical studies with alfentanil or cyclosporine in rats have identified a number of drug interactions, some of which have been characterized by name and significance (e,g,, a drug interaction with <e20> carbamazepine </e20> ).
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam (e,g,, <e10> cyclosporine </e10>, amiodarone, nicardipine, nifedipine, <e20> spironolactone </e20> ):
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines (as evaluated for potential drug interactions with alprazolam ) include: <e10> ergotamine </e10>, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, and nicardipine plus nifedipine.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines (all other than alprazolam ) include: atorvastatin, <e10> fenoldopam </e10>, cyclosporine, hexobarbital, phenytoin, <e20> rifadin </e20>, tamoxifen, and lovastatin.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines (e,g,, <e10> alprazolam </e10> ) include: atorvastatin, cyclosporine, prednisolone, bromocriptine, valproate, astemizole, <e20> warfarin </e20>, and lovastatin.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam (e,g,, <e10> alprazolam </e10> ) include: atorvastatin, clofibrate, <e20> cyclosporine </e20>, prednisolone, rifadin, thiazide, theophylline, and vitamin_C.
int	Data from in vitro studies of <e10> alprazolam </e10> suggest a possible drug interaction for the following: <e20> ergotamine </e20> and amiodarone.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, and bromocriptine.
int	Data from in vitro studies of <e10> methotrexate </e10> and other <e22> cestodiols </e22> suggest a possible synergism with carbamazepine.
int	Data from in vitro studies of <e10> methaqualone </e10> suggest a possible drug interaction with <e20> nifedipine </e20> for the following: hypercalcemia with concomitant administration of vitamin_C and nifedipine.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and <e20> nifedipine </e20>.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, and spironolactone.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, and lovastatin.
int	Data from in vitro studies of alprazolam suggest a possible drug interaction for the following: <e10> alprazolam </e10> and <e20> carbamazepine </e20>.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and <e20> nifedipine </e20>.
int	Data from in vitro studies of alprazolam suggest a possible drug interaction with <e10> alprazolam </e10> for the following: sertraline and <e20> paroxetine </e20>.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, and nifedipine_sulfate.
int	Data from in vitro studies of <e10> buprenorphine </e10> other than <e20> codeine </e20> suggest a possible drug interaction for the following:-Ethanol and norepinephrine.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, and nifedipine hydrochloride.
int	Data from in vitro studies of <e10> fluconazole </e10> suggest a possible drug interaction with <e20> warfarin </e20> and the concomitant administration of two other oral anticoagulant_drugs: heparin and warfarin.
int	Data from in vitro studies of alprazolam suggest a possible drug interaction with <e10> alprazolam </e10> for the following: sertraline and <e20> paroxetine </e20>.
int	Data from in vitro studies of <e12> benzodiazepines </e12> other than alprazolam suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and <e20> nifedipine </e20>.
int	Data from in vitro studies of alprazolam suggest a possible drug interaction for the following: <e10> Flupenthixol </e10>, phenytoin and <e20> lovastatin </e20>.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and <e20> nifedipine </e20>.
int	Data from in vitro studies of <e12> benzodiazepines </e12> other than alprazolam suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and <e20> nifedipine </e20>.
int	Data from in vitro studies of alprazolam suggest a possible drug interaction with <e10> alprazolam </e10> for the following: sertraline and <e20> paroxetine </e20>.
int	Data from in vitro studies of alprazolam suggest a possible drug interaction for the following: <e10> erythromycin </e10>, <e20> clarithromycin </e20>, and astemizole.
int	Data from in vitro studies of benzodiazepines other than <e10> alprazolam </e10> suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and <e20> nifedipine </e20>.
int	Data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following: <e10> ergotamine </e10>, cyclosporine, amiodarone, nicardipine, and <e20> nifedipine </e20>.
int	In addition to <e10> buprenorphine </e10>, there may be other drugs of abuse potentiated by <e20> buprenorphine </e20>, including but not limited to other opioids, sedatives, tranquilizers (e,g,, benzodiazepines ), general anesthetics, phenothiazines, skeletal_muscle_relaxants (i.e,, Tylenol ), alcohol, barbiturates, bromocriptine, calcium supplements, corticosteroids, corticotropin, cyclosporine, dantrolene, nicotine, somatropin, tamoxifen, and warfarin.
