int	Clinical implications of <e10> erythromycin </e10> interactions with carbamazepine, cyclosporine, tacrolimus, hexobarbital, phenytoin, alfentanil, cisapride, disopyramide, lovastatin, bromocriptine, valproate, terfenadine, and <e20> astemizole </e20>.
int	Chloral_hydrate and <e10> methaqualone </e10> interact pharmacologically with <e20> fluconazole </e20>.
int	In vitro interaction of <e10> gentamicin </e10> and <e20> atracurium </e20> in rat hearts: Implications for human health.BACKGROUND: The potential for interactions of drugs with enteric-coated preparations (eg, atracurium ) with drugs with intravenous (ie, subcutaneous ) properties (eg, antibiotics and antihistamines ) has been reported.PURPOSE: To evaluate the potential for interactions of gentamicin and atracurium in the presence of intravenously administered atracurium.STUDY DESIGN: Prospective, interventional study.METHODS: Seventy-six healthy volunteers, randomized to either the gentamicin or atracurium treatment group, received one of the following: gentamicin or atracurium alone (control), or both for up to # hours. After the last dose, the volunteers were monitored for signs and symptoms of toxicity and blood parameters were determined
int	Interaction of <e10> gentamycin </e10> and <e20> erythromycin </e20> in vitro.
int	<e10> Rifampin </e10> can interact with antidepressants, aspirin, barbiturates, bromocriptine, calcium supplements, corticosteroids, corticotropin, cyclosporine, dantrolene, nicotine, somatropin, tamoxifen, and <e20> warfarin </e20>.
int	The drug interaction between <e10> erythromycin </e10> and <e20> clarithromycin </e20> is not well known.
int	Interaction of <e10> gentamycin </e10> and <e20> carbamazepine </e20>.
int	Interaction of <e10> acetaminophen </e10> and <e20> aspirin </e20> in rats.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam (e,g,, cyclosporine, amiodarone, nicardipine, <e10> nifedipine </e10>, and nifedipine_sulfate ) include: <e21> ALPHAGAN_P </e21> ( alprazolam ) #% (w/w); cyclosporine # mg/kg/day; amiodarone # mg/kg/day; nicardipine # mg/kg/day; nifedipine # mg/kg/day; and nifedipine_sulfate # mg/kg/day.
int	Drugs and other substances demonstrated to be CYP 3A inhibitors on the basis of clinical studies involving benzodiazepines metabolized similarly to alprazolam or on the basis of in vitro studies with alprazolam or other benzodiazepines (with the exception of alprazolam) include: <e10> alprazolam </e10>, cyclosporine, amiodarone, nicardipine, <e20> nifedipine </e20>, phenytoin, bromocriptine, valproate, astemizole, and lovastatin.
