effect	Concomitant use of <e12> ketoconazole </e12> should not be considered in patients with HIV infection because of the potential for HIV transmission to HIV patients when concomitant use of <e20> ethinyl-estradiol </e20> and/or acetaminophen, both of which interact with the HIV pathway, may cause a transient reduction in plasma levels of ketoconazole and other potent antiretroviral drugs. <|endoftext|>
effect	Anticonvulsants such as <e12> levodopa </e12>, aripiprazole, and aripiprazole can cause hypotensive hypotension. <|endoftext|>
effect	With the combination of <e12> amiodarone </e12> and methotrexate, these may induce an increase in the concentrations of the <e22> dihydrochloride </e22> and the resulting antihypertensive effect of methotrexate. <|endoftext|>
effect	There has been no clinical data with <e10> aspirin </e10> in patients receiving a controlled study with other medications that may interfere with or inhibit the effects of aspirin. <|endoftext|>
effect	Although <e10> alprazolam </e10> does not affect the absorption of pharmacological agents, <e20> quinidine </e20> may increase the need for cimetidine-containing formulations. <|endoftext|>
effect	Other drug interactions may occur with <e10> Nafazodone </e10>, an opioid of <e20> cyclosporine </e20>, or other other potent CNS depressants. <|endoftext|>
effect	The dose-dependent increase in plasma concentrations of <e10> insulin </e10> following administration of <e22> corticosteroids </e22> is due to a reduction in the decrease in plasma insulin concentrations. <|endoftext|>
effect	f <e12> corticosteroids </e12> is probably due to the increased risk of CNS toxicity associated with the use of <e20> prednisolone </e20> and other antipsychotics (eg, concomitant use of <e20> dexamethasone </e20> and corticosteroids ) with decreased CNS clearance of <e22> nelfinavir </e22>. <|endoftext|>
effect	Coadministration of <e10> carbamazepine </e10> with diazepam at the onset of an epileptic convulsion should not result in an increased risk of increased seizure frequency or hallucinations, since patients receiving a dose of <e20> carbamazepine </e20> with carbamazepine will experience hallucinations of seizure response and other hallucinations. <|endoftext|>
effect	<e10> Acetaminophen </e10> may enhance the absorption of acetaminophen by <e22> ketoconazole </e22>. <|endoftext|>
effect	<|endoftext|>
effect	Therefore, when <e10> benzodiazepines </e10> are given with a dose of <e20> dexamethasone </e20>, a benzodiazepine with an increase in its binding affinity to the <e22> norepinephrine_alanyl_sodium_magnesium_sulfide </e22> receptor may increase the frequency of spontaneous CNS excitability induced by benzodiazepines. <|endoftext|>
effect	However, the interaction of <e10> methotrexate </e10> and caffeine with erythromycin-induced renal toxicity has not been studied. <|endoftext|>
effect	Although <e10> ketoconazole </e10> and other such medications may increase the plasma concentrations of <e20> propranolol </e20>, concomitant use of such medications may increase the blood levels of <e20> ketoconazole </e20>. <|endoftext|>
effect	The administration of <e10> alb_epoxide </e10> has been reported to increase serum concentrations of <e20> phenytoin </e20> in diabetic patients and to increase the occurrence of increased clearance of <e22> phenytoin </e22>. <|endoftext|>
