int	When cimetidine <e11> amiodarone </e11> and oxcarbazole are combined, <e22> cimetidine </e22> is concomitantly metabolized with these agents and the concentration of oxcarbazole may be significantly increased when the concurrent administration of oxcarbazole is stopped. 
int	f <e10> sopranil </e10> : <e22> Naloxone </e22>, may potentiate the antidepressant effect of <e20> clonidine </e20>. 
int	In other studies, <e12> piperidin </e12> was treated with <e20> aminosulfonamide </e20> and <e21> quinidine </e21>. 
int	Agonist : However, in humans, <e10> prednisolone </e10> does not enhance the anticoagulant action of <e20> pyridoxine </e20>. 
int	Astrol_Inhibitors : Astrol_Inhibitors : <e12> phenytoin </e12>, tricyclic_antidepressants, <e20> lithium </e20>, nicardipine, digoxin, nefazodone, cyclosporine, indinavir, nicardipine-only acetaminophen, and nonsteroidal_anti-inflammatory_agents (nephalothiazines and <e
int	A potential anticonvulsant effect of <e10> rifampin </e10> was shown in patients taking concomitant intravenous <e20> lidocaine </e20>. 
int	Neoral dosing and pharmacokinetics of the <e10> Neoral </e10> in patients receiving <e20> ketoconazole </e20>, cimetidine, or <e22> prednisolone </e22>. 
int	However, it is important to realize that the excretion of <e10> furosemide </e10> from erythromycin may occur in patients receiving <e20> fluconazole </e20> and should be avoided. 
int	The study in animals did not indicate any effect of <e10> salicylic_acid </e10> or other NSAIDs on plasma cations of insulin and <e20> digoxin </e20>. 
int	<e10> Hypoglycemia </e10> and hypertension have been associated with increased incidence of hypertension and <e20> diuretics </e20>. 
int	However, <e10> ketoconazole </e10> should not be used with caution with the following medicines: corticosteroids, <e20> oral contraceptives </e20>, oral contraceptive pills and antidepressants, anticoagulants, birth control pills, <e22> thyroid replacement therapy </e22> and coadministration of antibiotics. 
int	The most important observation is that the following medications have no effect on the therapeutic response of alcohol : <e10> quinidine </e10>, phenytoin, lithium, phenytoin_derivatives, <e20> benzodiazepines </e20>, phenytoin_derivatives, quinidine_antacid ( 
int	The administration of # mg/kg of <e12> vitamin_A </e12> had no effect on the hepatic pharmacokinetics of <e20> vitamin_A </e20>. 
int	<e10> Cimetidine </e10> can increase the absorption of <e20> clindamycin </e20>, which is a potent inhibitor of CYP3A4 and thus causes side effects such as reduced blood levels of prothrombin time. 
int	As a result of the interaction between <e10> methotrexate </e10> and anticoagulants, serum <e20> methotrexate </e20> concentrations increased markedly (by 10%) when <e20> azithromycin </e20> was administered concurrently with oral azithromycin. 
int	If <e10> niacin </e10> does not resolve the following medications: antacids, protease inhibitors, <e22> cyclosporine </e22>, prothrombin, thyroid medications, <e23> phenytoin </e23>, antiarrhythmics, warfarin, thyroid medications with active metabolism, <e20> vitamin_B6 </e20>, calcium_channel blockers, vitamin_B12
int	Pregnancy-Antibiotics : The pharmacokinetics of <e10> cimetidine </e10>, -elements including <e20> vitamin_E </e20>, <e20> fluconazole </e20>, and warfarin in combination with morphine and warfarin had not been studied. 
int	Preliminary data indicate that <e10> ibuprofen </e10> should not be used with <e20> methotrexate </e20> when concomitantly with concomitant use of antihypertensive agents such as phenytoin or nelfinavir. 
int	It is well known that concomitant administration of <e10> probenecid </e10> with <e20> propranolol </e20> significantly increases the excretion of <e22> beta-blockers </e22> and increases their plasma concentrations. 
int	Although a <e10> carbamazepine </e10> may potentiate the effect of <e20> benzodiazepines </e20>, caution should be exercised when a patient has been treated with this substance while on standard psychotropic medications. 
int	However, in other studies, it has been reported that <e12> PEGNEPIC </e12> may interact with <e22> quinidine </e22>. 
int	Therefore, alcohol may be administered concurrently with <e10> phenytoin </e10> to patients with schizophrenia, who experience high blood pressure and/or <e20> anticonvulsants </e20>, as well as to patients with severe or persistent mental and behavioral disturbances. 
int	Hematoxifen - <e10> tricyclic_antidepressants </e10> may interact with certain <e20> antihypertensive_agents </e20> and may interact with other drugs which may enhance antacids activity and may cause decreased bleeding (e,g,, phenytoin, clofibrate, diazem, clarithromycin ). 
int	Because of its potent <e10> Coadministration-PEG_inhibitors </e10>, a <e20> ketoconazole </e20> that may potentiate a Coadministration-PEG-inhibitor, can be taken concomitantly with oral <e22> anticonvulsants </e22> and may cause vomiting and diarrhea. 
int	Sodium: <e10> Cimetidine </e10> (S-Carnitine ) inhibits the clearance of the <e20> anticonvulsants </e20>. 
int	hetamine: Although <e10> norethindrone </e10> and <e20> temazepam </e20> may have reduced efficacy, oral dosage is not recommended when concomitant use of the two medicines. 
int	nd rifampin : Since rifampin is a metabolite of alcohol, <e10> rifampin </e10> is also metabolized by <e20> alcohol </e20> and can be converted to alcohol. 
int	When <e10> Phenobarbital </e10> is taken with <e22> NSAIDs </e22>, the mean dose of these drugs should be about 3 g. 
int	e: Concomitant administration of <e10> corticosteroids </e10> or <e22> methotrexate </e22> increases the maximum therapeutic dose of acetaminophen (300 mg), but <e22> acetaminophen_preparations </e22> do not. 
int	In clinical studies, <e10> quinidine </e10> and/or <e20> lidocaine </e20> were given in combination. 
int	While a dose-dependent decrease in plasma levels of <e10> fibrinogen </e10> may be possible in some patients, the clinical significance of <e20> fluvoxamine </e20> in the treatment of patients taking <e20> fibrinogen </e20> should not be overlooked. 
int	<e10> Magnesium </e10> may be absorbed by CNS-depressant-inducing effects (such as reduction in plasma potassium levels) when <e20> magnesium </e20> is administered alone or concurrently with CNS-depressant-inducing effects (such as reduction in serum potassium levels). 
int	Therefore, when administration of <e12> vitamin_D </e12> resulted in additive erythromycin activity with oral vitamin_D, concomitant administration of <e20> vitamin_D </e20> or vitamin_D2 with <e20> propranolol </e20> should be avoided. 
