negative	The <e1> fluoroquinolones </e1> are a rapidly growing class of <e2> antibiotics </e2> with a broad spectrum of activity against gram-negative and some gram-positive aerobic bacteria.
negative	In order to provide information for the appropriate package insert labeling of <e1> progestin-only_oral_contraceptives </e1> ( POC ) in the US, a comprehensive review was made of <e2> norgestrel </e2> (# mg) and norethindrone (# mg), with the clinical differences indicated where applicable.
negative	In order to provide information for the appropriate package insert labeling of <e1> progestin-only_oral_contraceptives </e1> ( POC ) in the US, a comprehensive review was made of norgestrel (# mg) and <e2> norethindrone </e2> (# mg), with the clinical differences indicated where applicable.
negative	In order to provide information for the appropriate package insert labeling of progestin-only_oral_contraceptives ( <e1> POC </e1> ) in the US, a comprehensive review was made of <e2> norgestrel </e2> (# mg) and norethindrone (# mg), with the clinical differences indicated where applicable.
negative	In order to provide information for the appropriate package insert labeling of progestin-only_oral_contraceptives ( <e1> POC </e1> ) in the US, a comprehensive review was made of norgestrel (# mg) and <e2> norethindrone </e2> (# mg), with the clinical differences indicated where applicable.
negative	In order to provide information for the appropriate package insert labeling of progestin-only_oral_contraceptives ( POC ) in the US, a comprehensive review was made of <e1> norgestrel </e1> (# mg) and <e2> norethindrone </e2> (# mg), with the clinical differences indicated where applicable.
negative	Antimicrobial activity of <e1> Ganoderma_lucidum_extract </e1> alone and in combination with some <e2> antibiotics </e2> .
negative	To investigate the effects of antimicrobial combinations of <e1> GL </e1> with four kinds of <e2> antibiotics </e2> ( ampicillin , cefazolin , oxytetracycline and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
negative	To investigate the effects of antimicrobial combinations of <e1> GL </e1> with four kinds of antibiotics ( <e2> ampicillin </e2> , cefazolin , oxytetracycline and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
negative	To investigate the effects of antimicrobial combinations of <e1> GL </e1> with four kinds of antibiotics ( ampicillin , <e2> cefazolin </e2> , oxytetracycline and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
negative	To investigate the effects of antimicrobial combinations of <e1> GL </e1> with four kinds of antibiotics ( ampicillin , cefazolin , <e2> oxytetracycline </e2> and chloramphenicol ), the fractional inhibitory concentration index (FICI) was determined by checkerboard assay for each strain.
